cat_name,Other,2021,2022,2023,2024,total_bookings
NULL,21,0,353,0,0,375
NULL,"47,511","45,807","64,827","81,130","28,353","267,629"
"7 Seater",32,365,604,145,7,"1,153"
Electric,507,415,818,322,51,"2,113"
Exotic,0,5,5,19,5,34
Featured,"5,935","13,950","16,321","25,664","12,573","74,443"
HatchBack,"15,595","17,116","15,249","18,007","3,953","69,920"
Luxury,260,127,379,448,131,"1,345"
"Luxury Sedan",0,9,35,18,0,62
"Luxury SUV",28,89,121,117,33,388
Mini,0,0,219,215,0,434
MUV,0,2,0,0,0,2
Promo,"6,427",8,1,2,0,"6,438"
Sedan,"13,563","9,274","24,431","23,103","7,724","78,095"
Self-Drive,2,8,3,0,0,13
sports,2,0,0,0,0,2
SUV,"4,552","4,131","6,053","12,762","3,872","31,370"
"Teachers Promo",0,0,0,116,0,116
VAN,587,308,235,192,4,"1,326"
